"ShareName"	"Owners"
"\\bosfs1\PD_DistMgmt"	"POWERENG\FS-BOSFS1-PD_DistMgmt-Share-FC, POWERENG\FS-BOSFS1-PD_DistMgmt-Share-RW"
"\\bosfs1\Program_Management"	"POWERENG\FS-BOSFS1-Program_Management-Share-FC, POWERENG\FS-BOSFS1-Program_Management-Share-RW"
"\\bosfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\bosfs1\Shares$"	"Everyone"
"\\bosfs1\Substation"	"POWERENG\FS-BOSFS1-Substation-Share-FC, POWERENG\FS-BOSFS1-Substation-Share-RW"
"\\bosfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\ch3fs1\Line"	"POWERENG\FS-CH3FS1-Line-Share-FC, POWERENG\FS-CH3FS1-Line-Share-RW"
"\\ch3fs1\PD_DistMgmt"	"POWERENG\FS-CH3FS1-PD_DistMgmt-Share-FC, POWERENG\FS-CH3FS1-PD_DistMgmt-Share-RW"
"\\ch3fs1\Pub_Inv"	"POWERENG\FS-CH3FS1-Pub_Inv-Share-FC, POWERENG\FS-CH3FS1-Pub_Inv-Share-RW"
"\\ch3fs1\Shares$"	"Everyone"
"\\ch3fs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\ch3fs1\Xchange"	"Everyone"
"\\cinfs1\Archive"	"POWERENG\FS-CINFS1-Archive-Share-FC, POWERENG\FS-CINFS1-Archive-Share-RW"
"\\cinfs1\RAM"	"POWERENG\FS-CINFS1-Ram-Share-FC, POWERENG\FS-CINFS1-Ram-Share-RW"
"\\cinfs1\RAM120"	"POWERENG\FS-CINFS1-RAM120-Share-FC, POWERENG\FS-CINFS1-RAM120-Share-RW"
"\\cinfs1\Shares$"	"Everyone"
"\\cinfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\clkfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\clkfs1\Shares$"	"Everyone"
